date,result,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
5/17/2008,3-8-11-19-32-35,3,8,11,19,32,35,3,8,11,19,32,35
5/20/2008,5-7-9-11-23-29,5,7,9,11,23,29,5,7,9,11,23,29
5/24/2008,9-10-17-21-22-26,9,10,17,21,22,26,9,10,17,21,22,26
5/27/2008,8-20-23-27-38-40,8,20,23,27,38,40,8,20,23,27,38,40
5/31/2008,3-11-12-18-32-37,3,11,12,18,32,37,3,11,12,18,32,37
6/3/2008,1-3-4-22-25-35,1,3,4,22,25,35,1,3,4,22,25,35
6/7/2008,10-17-20-35-36-39,10,17,20,35,36,39,10,17,20,35,36,39
6/10/2008,4-14-33-39-40-42,4,14,33,39,40,42,4,14,33,39,40,42
6/14/2008,3-7-26-31-33-41,3,7,26,31,33,41,3,7,26,31,33,41
6/17/2008,18-21-41-08-15-37,18,21,41,8,15,37,8,15,18,21,37,41
6/21/2008,13-15-36-08-19-26,13,15,36,8,19,26,8,13,15,19,26,36
6/24/2008,04-23-11-08-21-14,4,23,11,8,21,14,4,8,11,14,21,23
6/28/2008,11-04-29-07-34-21,11,4,29,7,34,21,4,7,11,21,29,34
7/1/2008,38-10-37-04-35-34,38,10,37,4,35,34,4,10,34,35,37,38
7/5/2008,07-18-28-21-25-14,7,18,28,21,25,14,7,14,18,21,25,28
7/8/2008,33-27-01-03-42-05,33,27,1,3,42,5,1,3,5,27,33,42
7/12/2008,23-07-03-20-38-10,23,7,3,20,38,10,3,7,10,20,23,38
7/15/2008,15-25-07-11-32-24,15,25,7,11,32,24,7,11,15,24,25,32
7/19/2008,14-38-03-19-39-28,14,38,3,19,39,28,3,14,19,28,38,39
7/22/2008,17-22-13-33-31-16,17,22,13,33,31,16,13,16,17,22,31,33
7/26/2008,22-42-19-06-39-05,22,42,19,6,39,5,5,6,19,22,39,42
7/29/2008,05-13-06-12-25-24,5,13,6,12,25,24,5,6,12,13,24,25
8/2/2008,42-15-13-28-20-33,42,15,13,28,20,33,13,15,20,28,33,42
8/5/2008,19-34-24-07-02-14,19,34,24,7,2,14,2,7,14,19,24,34
8/9/2008,20-01-19-30-34-25,20,1,19,30,34,25,1,19,20,25,30,34
8/12/2008,24-09-02-20-07-06,24,9,2,20,7,6,2,6,7,9,20,24
8/16/2008,21-07-05-08-22-29,21,7,5,8,22,29,5,7,8,21,22,29
8/19/2008,03-26-39-41-33-01,3,26,39,41,33,1,1,3,26,33,39,41
8/23/2008,21-15-29-39-05-12,21,15,29,39,5,12,5,12,15,21,29,39
8/26/2008,24-11-42-05-15-13,24,11,42,5,15,13,5,11,13,15,24,42
8/30/2008,03-35-06-25-19-28,3,35,6,25,19,28,3,6,19,25,28,35
9/2/2008,34-38-01-37-23-22,34,38,1,37,23,22,1,22,23,34,37,38
9/6/2008,18-26-14-29-02-27,18,26,14,29,2,27,2,14,18,26,27,29
9/9/2008,09-27-08-21-04-13,9,27,8,21,4,13,4,8,9,13,21,27
9/13/2008,33-20-17-26-37-30,33,20,17,26,37,30,17,20,26,30,33,37
9/16/2008,02-26-36-37-13-12,2,26,36,37,13,12,2,12,13,26,36,37
9/20/2008,09-13-04-01-03-34,9,13,4,1,3,34,1,3,4,9,13,34
9/23/2008,39-30-19-20-17-41,39,30,19,20,17,41,17,19,20,30,39,41
9/27/2008,19-40-28-08-03-02,19,40,28,8,3,2,2,3,8,19,28,40
9/30/2008,32-22-13-39-29-16,32,22,13,39,29,16,13,16,22,29,32,39
10/4/2008,41-02-34-01-40-38,41,2,34,1,40,38,1,2,34,38,40,41
10/7/2008,15-40-08-03-01-27,15,40,8,3,1,27,1,3,8,15,27,40
10/11/2008,31-36-07-40-32-04,31,36,7,40,32,4,4,7,31,32,36,40
10/14/2008,40-01-35-19-05-32,40,1,35,19,5,32,1,5,19,32,35,40
10/18/2008,41-07-30-11-31-16,41,7,30,11,31,16,7,11,16,30,31,41
10/21/2008,21-16-02-05-20-23,21,16,2,5,20,23,2,5,16,20,21,23
10/25/2008,26-23-30-12-06-17,26,23,30,12,6,17,6,12,17,23,26,30
10/28/2008,05-41-38-28-10-16,5,41,38,28,10,16,5,10,16,28,38,41
11/1/2008,15-36-41-13-25-06,15,36,41,13,25,6,6,13,15,25,36,41
11/4/2008,02-31-01-05-33-15,2,31,1,5,33,15,1,2,5,15,31,33
11/8/2008,21-07-26-42-14-20,21,7,26,42,14,20,7,14,20,21,26,42
11/11/2008,20-38-40-36-23-39,20,38,40,36,23,39,20,23,36,38,39,40
11/15/2008,23-33-41-22-16-25,23,33,41,22,16,25,16,22,23,25,33,41
11/18/2008,29-07-32-39-03-33,29,7,32,39,3,33,3,7,29,32,33,39
11/22/2008,36-04-28-11-10-31,36,4,28,11,10,31,4,10,11,28,31,36
11/25/2008,09-08-29-23-30-14,9,8,29,23,30,14,8,9,14,23,29,30
11/29/2008,34-25-26-18-12-06,34,25,26,18,12,6,6,12,18,25,26,34
12/2/2008,31-38-17-05-13-02,31,38,17,5,13,2,2,5,13,17,31,38
12/6/2008,40-18-41-12-19-04,40,18,41,12,19,4,4,12,18,19,40,41
12/9/2008,20-24-26-37-31-41,20,24,26,37,31,41,20,24,26,31,37,41
12/13/2008,41-17-09-31-20-11,41,17,9,31,20,11,9,11,17,20,31,41
12/16/2008,25-38-35-42-11-08,25,38,35,42,11,8,8,11,25,35,38,42
12/20/2008,26-20-33-36-01-18,26,20,33,36,1,18,1,18,20,26,33,36
12/23/2008,33-21-38-40-16-37,33,21,38,40,16,37,16,21,33,37,38,40
12/27/2008,05-40-15-09-35-22,5,40,15,9,35,22,5,9,15,22,35,40
12/30/2008,17-25-23-12-08-35,17,25,23,12,8,35,8,12,17,23,25,35
1/3/2009,06-41-07-22-39-33,6,41,7,22,39,33,6,7,22,33,39,41
1/6/2009,18-42-39-20-22-29,18,42,39,20,22,29,18,20,22,29,39,42
1/10/2009,31-04-01-24-12-41,31,4,1,24,12,41,1,4,12,24,31,41
1/13/2009,08-38-01-40-34-32,8,38,1,40,34,32,1,8,32,34,38,40
1/17/2009,31-02-06-15-14-04,31,2,6,15,14,4,2,4,6,14,15,31
1/20/2009,02-31-27-10-37-05,2,31,27,10,37,5,2,5,10,27,31,37
1/24/2009,20-21-22-03-15-02,20,21,22,3,15,2,2,3,15,20,21,22
1/27/2009,29-32-41-38-05-08,29,32,41,38,5,8,5,8,29,32,38,41
1/31/2009,30-41-39-17-07-38,30,41,39,17,7,38,7,17,30,38,39,41
2/3/2009,10-11-06-19-21-15,10,11,6,19,21,15,6,10,11,15,19,21
2/7/2009,29-24-16-08-12-14,29,24,16,8,12,14,8,12,14,16,24,29
2/10/2009,28-32-03-14-02-15,28,32,3,14,2,15,2,3,14,15,28,32
2/14/2009,17-07-40-29-18-09,17,7,40,29,18,9,7,9,17,18,29,40
2/17/2009,18-12-14-15-03-16,18,12,14,15,3,16,3,12,14,15,16,18
2/21/2009,42-20-39-23-40-28,42,20,39,23,40,28,20,23,28,39,40,42
2/24/2009,13-35-38-12-17-11,13,35,38,12,17,11,11,12,13,17,35,38
2/28/2009,31-16-32-27-36-42,31,16,32,27,36,42,16,27,31,32,36,42
3/3/2009,32-05-24-16-34-11,32,5,24,16,34,11,5,11,16,24,32,34
3/7/2009,29-39-19-10-36-06,29,39,19,10,36,6,6,10,19,29,36,39
3/10/2009,08-24-38-30-06-25,8,24,38,30,6,25,6,8,24,25,30,38
3/14/2009,14-17-38-13-37-35,14,17,38,13,37,35,13,14,17,35,37,38
3/17/2009,01-22-05-28-32-29,1,22,5,28,32,29,1,5,22,28,29,32
3/21/2009,19-08-10-12-31-38,19,8,10,12,31,38,8,10,12,19,31,38
3/24/2009,41-09-04-01-26-14,41,9,4,1,26,14,1,4,9,14,26,41
3/28/2009,25-30-16-13-06-39,25,30,16,13,6,39,6,13,16,25,30,39
3/31/2009,20-07-12-38-16-14,20,7,12,38,16,14,7,12,14,16,20,38
4/4/2009,07-41-10-28-27-17,7,41,10,28,27,17,7,10,17,27,28,41
4/7/2009,14-07-01-35-05-06,14,7,1,35,5,6,1,5,6,7,14,35
4/14/2009,37-08-01-07-02-23,37,8,1,7,2,23,1,2,7,8,23,37
4/18/2009,17-32-04-41-19-13,17,32,4,41,19,13,4,13,17,19,32,41
4/21/2009,02-39-26-15-38-19,2,39,26,15,38,19,2,15,19,26,38,39
4/25/2009,11-22-06-28-09-35,11,22,6,28,9,35,6,9,11,22,28,35
4/28/2009,29-02-21-25-28-20,29,2,21,25,28,20,2,20,21,25,28,29
5/2/2009,04-06-41-27-12-09,4,6,41,27,12,9,4,6,9,12,27,41
5/5/2009,26-36-07-41-32-05,26,36,7,41,32,5,5,7,26,32,36,41
5/9/2009,17-15-24-31-01-07,17,15,24,31,1,7,1,7,15,17,24,31
5/12/2009,29-11-04-22-39-02,29,11,4,22,39,2,2,4,11,22,29,39
5/16/2009,12-21-03-19-02-26,12,21,3,19,2,26,2,3,12,19,21,26
5/19/2009,23-20-36-26-05-31,23,20,36,26,5,31,5,20,23,26,31,36
5/23/2009,28-19-31-37-21-27,28,19,31,37,21,27,19,21,27,28,31,37
5/26/2009,35-21-24-28-37-23,35,21,24,28,37,23,21,23,24,28,35,37
5/30/2009,38-15-10-02-42-08,38,15,10,2,42,8,2,8,10,15,38,42
6/2/2009,16-07-34-13-20-03,16,7,34,13,20,3,3,7,13,16,20,34
6/6/2009,29-21-27-13-10-31,29,21,27,13,10,31,10,13,21,27,29,31
6/9/2009,31-14-18-12-34-27,31,14,18,12,34,27,12,14,18,27,31,34
6/13/2009,08-34-33-01-36-13,8,34,33,1,36,13,1,8,13,33,34,36
6/16/2009,07-41-02-13-32-31,7,41,2,13,32,31,2,7,13,31,32,41
6/20/2009,34-24-35-22-37-29,34,24,35,22,37,29,22,24,29,34,35,37
6/20/2009,34-24-35-22-37-29,34,24,35,22,37,29,22,24,29,34,35,37
6/23/2009,23-24-05-32-21-41,23,24,5,32,21,41,5,21,23,24,32,41
6/27/2009,40-16-34-07-25-26,40,16,34,7,25,26,7,16,25,26,34,40
6/30/2009,16-11-34-38-25-29,16,11,34,38,25,29,11,16,25,29,34,38
7/4/2009,01-03-20-11-24-34,1,3,20,11,24,34,1,3,11,20,24,34
7/7/2009,40-03-24-06-26-32,40,3,24,6,26,32,3,6,24,26,32,40
7/11/2009,15-27-10-20-16-17,15,27,10,20,16,17,10,15,16,17,20,27
7/14/2009,03-10-42-21-20-40,3,10,42,21,20,40,3,10,20,21,40,42
7/18/2009,33-03-41-39-29-22,33,3,41,39,29,22,3,22,29,33,39,41
7/21/2009,17-28-24-34-01-14,17,28,24,34,1,14,1,14,17,24,28,34
7/25/2009,37-02-33-14-30-25,37,2,33,14,30,25,2,14,25,30,33,37
7/28/2009,18-42-20-14-35-07,18,42,20,14,35,7,7,14,18,20,35,42
8/1/2009,08-13-25-15-05-37,8,13,25,15,5,37,5,8,13,15,25,37
8/4/2009,04-21-16-14-28-25,4,21,16,14,28,25,4,14,16,21,25,28
8/8/2009,39-09-15-28-25-18,39,9,15,28,25,18,9,15,18,25,28,39
8/11/2009,04-37-24-10-31-32,4,37,24,10,31,32,4,10,24,31,32,37
8/15/2009,31-36-05-22-33-16,31,36,5,22,33,16,5,16,22,31,33,36
8/18/2009,28-22-12-18-03-16,28,22,12,18,3,16,3,12,16,18,22,28
8/22/2009,32-41-16-09-01-20,32,41,16,9,1,20,1,9,16,20,32,41
8/25/2009,17-22-40-20-16-39,17,22,40,20,16,39,16,17,20,22,39,40
8/29/2009,20-24-39-42-36-28,20,24,39,42,36,28,20,24,28,36,39,42
9/1/2009,36-04-25-38-07-08,36,4,25,38,7,8,4,7,8,25,36,38
9/5/2009,12-01-26-23-39-27,12,1,26,23,39,27,1,12,23,26,27,39
9/8/2009,10-26-16-07-03-18,10,26,16,7,3,18,3,7,10,16,18,26
9/12/2009,33-36-02-12-08-13,33,36,2,12,8,13,2,8,12,13,33,36
9/15/2009,18-26-22-09-03-29,18,26,22,9,3,29,3,9,18,22,26,29
9/19/2009,05-14-19-39-01-29,5,14,19,39,1,29,1,5,14,19,29,39
9/22/2009,22-01-17-14-15-02,22,1,17,14,15,2,1,2,14,15,17,22
9/26/2009,05-20-19-42-32-40,5,20,19,42,32,40,5,19,20,32,40,42
9/29/2009,03-11-02-24-19-04,3,11,2,24,19,4,2,3,4,11,19,24
10/3/2009,11-18-16-03-25-09,11,18,16,3,25,9,3,9,11,16,18,25
10/6/2009,17-35-27-20-32-03,17,35,27,20,32,3,3,17,20,27,32,35
10/10/2009,18-04-11-30-09-22,18,4,11,30,9,22,4,9,11,18,22,30
10/13/2009,14-39-13-25-38-37,14,39,13,25,38,37,13,14,25,37,38,39
10/17/2009,37-04-08-31-03-21,37,4,8,31,3,21,3,4,8,21,31,37
10/20/2009,19-15-21-38-02-24,19,15,21,38,2,24,2,15,19,21,24,38
10/24/2009,11-07-36-03-05-15,11,7,36,3,5,15,3,5,7,11,15,36
10/27/2009,39-15-30-13-18-05,39,15,30,13,18,5,5,13,15,18,30,39
10/31/2009,26-04-11-23-22-30,26,4,11,23,22,30,4,11,22,23,26,30
11/3/2009,19-17-20-41-37-30,19,17,20,41,37,30,17,19,20,30,37,41
11/7/2009,29-06-36-27-21-31,29,6,36,27,21,31,6,21,27,29,31,36
11/10/2009,41-12-01-13-02-08,41,12,1,13,2,8,1,2,8,12,13,41
11/14/2009,39-37-31-40-21-01,39,37,31,40,21,1,1,21,31,37,39,40
11/17/2009,29-13-20-07-19-37,29,13,20,7,19,37,7,13,19,20,29,37
11/21/2009,18-31-24-32-16-14,18,31,24,32,16,14,14,16,18,24,31,32
11/24/2009,36-01-18-11-35-08,36,1,18,11,35,8,1,8,11,18,35,36
11/28/2009,19-05-15-42-27-40,19,5,15,42,27,40,5,15,19,27,40,42
12/1/2009,17-37-11-20-04-40,17,37,11,20,4,40,4,11,17,20,37,40
12/5/2009,04-40-28-42-15-36,4,40,28,42,15,36,4,15,28,36,40,42
12/8/2009,33-16-32-19-03-40,33,16,32,19,3,40,3,16,19,32,33,40
12/12/2009,36-30-01-08-12-41,36,30,1,8,12,41,1,8,12,30,36,41
12/15/2009,23-02-40-03-07-01,23,2,40,3,7,1,1,2,3,7,23,40
12/17/2009,16-38-39-15-02-26,16,38,39,15,2,26,2,15,16,26,38,39
12/19/2009,21-03-14-22-27-16,21,3,14,22,27,16,3,14,16,21,22,27
12/22/2009,16-18-09-26-34-23,16,18,9,26,34,23,9,16,18,23,26,34
12/24/2009,22-32-31-26-39-37,22,32,31,26,39,37,22,26,31,32,37,39
12/26/2009,37-34-28-15-04-39,37,34,28,15,4,39,4,15,28,34,37,39
11/26/2009,35-06-21-12-41-01,35,6,21,12,41,1,1,6,12,21,35,41
12/3/2009,26-10-25-02-18-34,26,10,25,2,18,34,2,10,18,25,26,34
12/10/2009,12-22-37-04-34-02,12,22,37,4,34,2,2,4,12,22,34,37
12/29/2009,39-13-14-31-24-18,39,13,14,31,24,18,13,14,18,24,31,39
12/31/2009,19-37-07-11-05-34,19,37,7,11,5,34,5,7,11,19,34,37
1/2/2010,33-13-24-22-10-29,33,13,24,22,10,29,10,13,22,24,29,33
1/5/2010,42-32-31-28-01-02,42,32,31,28,1,2,1,2,28,31,32,42
1/7/2010,16-40-36-27-34-18,16,40,36,27,34,18,16,18,27,34,36,40
1/9/2010,38-27-35-04-01-14,38,27,35,4,1,14,1,4,14,27,35,38
1/12/2010,31-07-10-08-33-42,31,7,10,8,33,42,7,8,10,31,33,42
1/14/2010,33-23-27-15-37-30,33,23,27,15,37,30,15,23,27,30,33,37
1/16/2010,04-34-08-03-24-20,4,34,8,3,24,20,3,4,8,20,24,34
1/19/2010,40-33-12-14-08-26,40,33,12,14,8,26,8,12,14,26,33,40
1/21/2010,20-42-33-36-23-21,20,42,33,36,23,21,20,21,23,33,36,42
1/23/2010,32-23-01-11-22-12,32,23,1,11,22,12,1,11,12,22,23,32
1/26/2010,35-28-34-18-41-04,35,28,34,18,41,4,4,18,28,34,35,41
1/28/2010,05-03-41-24-20-30,5,3,41,24,20,30,3,5,20,24,30,41
1/30/2010,14-34-33-10-24-07,14,34,33,10,24,7,7,10,14,24,33,34
2/2/2010,09-05-42-34-02-32,9,5,42,34,2,32,2,5,9,32,34,42
2/4/2010,02-20-24-09-12-18,2,20,24,9,12,18,2,9,12,18,20,24
2/6/2010,07-29-27-41-24-03,7,29,27,41,24,3,3,7,24,27,29,41
2/9/2010,07-25-33-27-38-16,7,25,33,27,38,16,7,16,25,27,33,38
2/11/2010,03-27-08-17-20-39,3,27,8,17,20,39,3,8,17,20,27,39
2/13/2010,08-21-38-06-19-28,8,21,38,6,19,28,6,8,19,21,28,38
2/16/2010,35-29-22-12-19-02,35,29,22,12,19,2,2,12,19,22,29,35
2/18/2010,19-14-06-27-07-10,19,14,6,27,7,10,6,7,10,14,19,27
2/20/2010,09-03-10-35-37-19,9,3,10,35,37,19,3,9,10,19,35,37
2/23/2010,18-09-01-10-40-15,18,9,1,10,40,15,1,9,10,15,18,40
2/25/2010,02-22-19-04-30-31,2,22,19,4,30,31,2,4,19,22,30,31
2/27/2010,20-08-31-04-21-28,20,8,31,4,21,28,4,8,20,21,28,31
3/2/2010,41-40-06-11-01-20,41,40,6,11,1,20,1,6,11,20,40,41
3/4/2010,41-21-37-34-14-30,41,21,37,34,14,30,14,21,30,34,37,41
3/6/2010,17-35-12-05-33-10,17,35,12,5,33,10,5,10,12,17,33,35
3/9/2010,22-05-17-21-14-41,22,5,17,21,14,41,5,14,17,21,22,41
3/11/2010,38-14-20-24-35-31,38,14,20,24,35,31,14,20,24,31,35,38
3/13/2010,25-10-06-09-18-21,25,10,6,9,18,21,6,9,10,18,21,25
3/16/2010,01-04-06-02-36-37,1,4,6,2,36,37,1,2,4,6,36,37
3/18/2010,38-19-16-37-09-03,38,19,16,37,9,3,3,9,16,19,37,38
3/20/2010,10-23-34-38-40-07,10,23,34,38,40,7,7,10,23,34,38,40
3/23/2010,24-41-03-07-26-06,24,41,3,7,26,6,3,6,7,24,26,41
3/25/2010,39-11-25-17-38-03,39,11,25,17,38,3,3,11,17,25,38,39
3/27/2010,01-08-34-28-14-24,1,8,34,28,14,24,1,8,14,24,28,34
3/30/2010,03-16-06-42-13-05,3,16,6,42,13,5,3,5,6,13,16,42
4/6/2010,33-24-14-02-07-32,33,24,14,2,7,32,2,7,14,24,32,33
4/8/2010,32-02-11-14-42-34,32,2,11,14,42,34,2,11,14,32,34,42
4/10/2010,36-13-25-20-19-37,36,13,25,20,19,37,13,19,20,25,36,37
4/13/2010,37-35-40-36-02-09,37,35,40,36,2,9,2,9,35,36,37,40
4/15/2010,23-27-05-15-33-29,23,27,5,15,33,29,5,15,23,27,29,33
4/17/2010,22-08-04-34-25-41,22,8,4,34,25,41,4,8,22,25,34,41
4/20/2010,27-28-14-20-35-32,27,28,14,20,35,32,14,20,27,28,32,35
4/22/2010,15-04-34-13-42-20,15,4,34,13,42,20,4,13,15,20,34,42
4/24/2010,06-34-09-03-27-18,6,34,9,3,27,18,3,6,9,18,27,34
4/27/2010,32-01-04-33-34-13,32,1,4,33,34,13,1,4,13,32,33,34
4/29/2010,01-24-36-34-08-25,1,24,36,34,8,25,1,8,24,25,34,36
5/1/2010,14-26-09-23-12-31,14,26,9,23,12,31,9,12,14,23,26,31
5/4/2010,29-25-32-08-35-39,29,25,32,8,35,39,8,25,29,32,35,39
5/6/2010,02-03-05-13-27-32,2,3,5,13,27,32,2,3,5,13,27,32
5/8/2010,06-32-36-41-25-16,6,32,36,41,25,16,6,16,25,32,36,41
5/11/2010,08-01-31-32-10-06,8,1,31,32,10,6,1,6,8,10,31,32
5/13/2010,26-31-33-30-37-06,26,31,33,30,37,6,6,26,30,31,33,37
5/15/2010,40-39-28-34-42-13,40,39,28,34,42,13,13,28,34,39,40,42
5/18/2010,07-23-25-15-26-16,7,23,25,15,26,16,7,15,16,23,25,26
5/20/2010,23-39-24-37-07-42,23,39,24,37,7,42,7,23,24,37,39,42
5/22/2010,21-20-30-12-40-07,21,20,30,12,40,7,7,12,20,21,30,40
5/25/2010,31-20-21-15-37-29,31,20,21,15,37,29,15,20,21,29,31,37
5/27/2010,25-12-17-24-21-40,25,12,17,24,21,40,12,17,21,24,25,40
6/1/2010,11-28-15-27-04-31,11,28,15,27,4,31,4,11,15,27,28,31
5/29/2010,21-40-39-23-28-34,21,40,39,23,28,34,21,23,28,34,39,40
6/3/2010,11-10-42-35-41-39,11,10,42,35,41,39,10,11,35,39,41,42
6/5/2010,16-04-26-07-03-05,16,4,26,7,3,5,3,4,5,7,16,26
6/8/2010,16-09-08-30-18-19,16,9,8,30,18,19,8,9,16,18,19,30
6/10/2010,09-25-34-29-42-26,9,25,34,29,42,26,9,25,26,29,34,42
6/12/2010,33-29-22-42-41-25,33,29,22,42,41,25,22,25,29,33,41,42
6/15/2010,05-23-04-38-18-14,5,23,4,38,18,14,4,5,14,18,23,38
6/17/2010,12-37-17-33-21-16,12,37,17,33,21,16,12,16,17,21,33,37
6/19/2010,09-25-21-02-05-40,9,25,21,2,5,40,2,5,9,21,25,40
6/22/2010,24-03-12-28-20-36,24,3,12,28,20,36,3,12,20,24,28,36
6/24/2010,27-41-19-31-29-04,27,41,19,31,29,4,4,19,27,29,31,41
6/26/2010,41-39-13-26-40-15,41,39,13,26,40,15,13,15,26,39,40,41
6/29/2010,04-27-17-08-16-02,4,27,17,8,16,2,2,4,8,16,17,27
7/1/2010,36-01-24-25-06-02,36,1,24,25,6,2,1,2,6,24,25,36
7/3/2010,25-33-23-13-16-21,25,33,23,13,16,21,13,16,21,23,25,33
7/6/2010,42-27-10-35-38-34,42,27,10,35,38,34,10,27,34,35,38,42
7/8/2010,39-03-29-42-16-30,39,3,29,42,16,30,3,16,29,30,39,42
7/10/2010,16-20-38-11-27-39,16,20,38,11,27,39,11,16,20,27,38,39
7/13/2010,26-05-19-06-24-23,26,5,19,6,24,23,5,6,19,23,24,26
7/15/2010,04-24-01-18-22-41,4,24,1,18,22,41,1,4,18,22,24,41
7/17/2010,21-17-04-33-01-29,21,17,4,33,1,29,1,4,17,21,29,33
7/20/2010,27-03-37-24-10-07,27,3,37,24,10,7,3,7,10,24,27,37
7/22/2010,29-21-33-06-41-40,29,21,33,6,41,40,6,21,29,33,40,41
7/24/2010,23-40-19-41-31-26,23,40,19,41,31,26,19,23,26,31,40,41
7/27/2010,26-36-05-28-19-34,26,36,5,28,19,34,5,19,26,28,34,36
7/29/2010,39-19-07-41-38-30,39,19,7,41,38,30,7,19,30,38,39,41
7/31/2010,06-41-03-32-25-07,6,41,3,32,25,7,3,6,7,25,32,41
8/3/2010,04-36-11-10-12-34,4,36,11,10,12,34,4,10,11,12,34,36
8/5/2010,10-11-36-40-19-20,10,11,36,40,19,20,10,11,19,20,36,40
8/7/2010,37-41-36-11-39-04,37,41,36,11,39,4,4,11,36,37,39,41
8/10/2010,42-10-23-22-04-31,42,10,23,22,4,31,4,10,22,23,31,42
8/12/2010,08-13-42-07-39-04,8,13,42,7,39,4,4,7,8,13,39,42
8/14/2010,31-26-07-39-23-20,31,26,7,39,23,20,7,20,23,26,31,39
8/17/2010,14-09-24-27-07-29,14,9,24,27,7,29,7,9,14,24,27,29
8/19/2010,28-23-41-17-19-10,28,23,41,17,19,10,10,17,19,23,28,41
8/21/2010,41-32-37-07-42-39,41,32,37,7,42,39,7,32,37,39,41,42
8/24/2010,15-04-28-34-11-01,15,4,28,34,11,1,1,4,11,15,28,34
8/26/2010,13-39-19-25-18-15,13,39,19,25,18,15,13,15,18,19,25,39
8/28/2010,42-15-30-31-32-24,42,15,30,31,32,24,15,24,30,31,32,42
8/31/2010,17-38-15-29-27-06,17,38,15,29,27,6,6,15,17,27,29,38
9/2/2010,11-34-17-42-31-26,11,34,17,42,31,26,11,17,26,31,34,42
9/4/2010,05-26-40-08-15-07,5,26,40,8,15,7,5,7,8,15,26,40
9/7/2010,18-25-08-31-21-33,18,25,8,31,21,33,8,18,21,25,31,33
9/9/2010,06-17-12-28-01-24,6,17,12,28,1,24,1,6,12,17,24,28
9/11/2010,37-23-40-30-20-25,37,23,40,30,20,25,20,23,25,30,37,40
9/14/2010,31-28-10-34-16-14,31,28,10,34,16,14,10,14,16,28,31,34
9/16/2010,41-26-10-27-07-34,41,26,10,27,7,34,7,10,26,27,34,41
