LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,05-37-16-28-14-44,70,250746184,0,5,37,16,28,14,44,2015-10-16
Ultra Lotto 6/58,54-19-15-03-20-50,71,256317648,0,54,19,15,3,20,50,2015-10-18
Ultra Lotto 6/58,16-15-18-46-08-29,72,263870888,0,16,15,18,46,8,29,2015-10-23
Ultra Lotto 6/58,49-04-46-34-19-56,73,270329376,0,49,4,46,34,19,56,2015-10-25
Ultra Lotto 6/58,22-09-24-16-52-42,74,277977308,1,22,9,24,16,52,42,2015-10-30
Ultra Lotto 6/58,22-03-27-41-43-36,75,50000000,0,22,3,27,41,43,36,2015-01-11
Ultra Lotto 6/58,11-22-03-43-34-06,76,50000000,0,11,22,3,43,34,6,2015-06-11
Ultra Lotto 6/58,48-52-14-58-23-38,77,50000000,0,48,52,14,58,23,38,2015-08-11
Ultra Lotto 6/58,48-15-01-35-26-22,78,50000000,0,48,15,1,35,26,22,2015-11-13
Ultra Lotto 6/58,20-01-04-40-51-02,79,50000000,0,20,1,4,40,51,2,2015-11-15
Ultra Lotto 6/58,33-54-45-20-14-12,80,50000000,0,33,54,45,20,14,12,2015-11-20
Ultra Lotto 6/58,15-48-31-04-43-13,81,50000000,0,15,48,31,4,43,13,2015-11-22
Ultra Lotto 6/58,32-51-27-01-16-20,82,50000000,0,32,51,27,1,16,20,2015-11-27
Ultra Lotto 6/58,19-51-38-17-43-04,83,50000000,0,19,51,38,17,43,4,2015-11-29
Ultra Lotto 6/58,22-28-01-43-06-13,84,50000000,0,22,28,1,43,6,13,2015-04-12
Ultra Lotto 6/58,38-33-11-25-54-41,85,50000000,0,38,33,11,25,54,41,2015-06-12
Ultra Lotto 6/58,08-55-11-33-05-10,86,50000000,0,8,55,11,33,5,10,2015-11-12
Ultra Lotto 6/58,50-52-09-33-08-31,87,50000000,0,50,52,9,33,8,31,2015-12-13
Ultra Lotto 6/58,53-30-54-41-43-26,88,50000000,0,53,30,54,41,43,26,2015-12-18
Ultra Lotto 6/58,16-07-50-03-26-53,89,50000000,0,16,7,50,3,26,53,2015-12-20
Ultra Lotto 6/58,13-27-23-11-01-09,90,50000000,0,13,27,23,11,1,9,2015-12-27
Ultra Lotto 6/58,26-10-05-24-49-12,91,50000000,1,26,10,5,24,49,12,2016-03-01
Ultra Lotto 6/58,38-35-33-08-49-52,92,50000000,0,38,35,33,8,49,52,2016-08-01
Ultra Lotto 6/58,23-54-31-05-32-03,93,50000000,0,23,54,31,5,32,3,2016-10-01
Ultra Lotto 6/58,22-16-45-56-54-39,94,50000000,0,22,16,45,56,54,39,2016-01-15
Ultra Lotto 6/58,53-19-58-38-04-27,95,50000000,0,53,19,58,38,4,27,2016-01-17
Ultra Lotto 6/58,37-14-25-09-46-31,96,50000000,0,37,14,25,9,46,31,2016-01-22
Ultra Lotto 6/58,25-43-49-57-06-13,97,50000000,0,25,43,49,57,6,13,2016-01-24
Ultra Lotto 6/58,44-12-54-33-04-53,98,50000000,0,44,12,54,33,4,53,2016-01-29
Ultra Lotto 6/58,15-20-37-29-54-16,99,50000000,0,15,20,37,29,54,16,2016-01-31
Ultra Lotto 6/58,35-06-48-58-33-50,100,50000000,0,35,6,48,58,33,50,2016-05-02
Ultra Lotto 6/58,40-55-20-13-32-23,101,50000000,0,40,55,20,13,32,23,2016-07-02
Ultra Lotto 6/58,47-30-49-27-46-42,102,50000000,0,47,30,49,27,46,42,2016-12-02
Ultra Lotto 6/58,27-34-42-21-11-38,103,50000000,0,27,34,42,21,11,38,2016-02-14
Ultra Lotto 6/58,10-03-01-51-44-13,104,50000000,0,10,3,1,51,44,13,2016-02-19
Ultra Lotto 6/58,39-33-19-21-09-55,105,50000000,0,39,33,19,21,9,55,2016-02-21
Ultra Lotto 6/58,44-58-09-41-23-35,106,50000000,0,44,58,9,41,23,35,2016-02-26
Ultra Lotto 6/58,10-13-23-11-07-09,107,50000000,0,10,13,23,11,7,9,2016-02-28
Ultra Lotto 6/58,36-41-03-06-15-26,108,50000000,0,36,41,3,6,15,26,2016-04-03
Ultra Lotto 6/58,48-37-33-34-41-50,109,50000000,0,48,37,33,34,41,50,2016-06-03
Ultra Lotto 6/58,25-07-36-39-31-30,110,50000000,0,25,7,36,39,31,30,2016-11-03
Ultra Lotto 6/58,27-12-01-11-29-52,111,50604224,0,27,12,1,11,29,52,2016-03-13
Ultra Lotto 6/58,33-04-48-44-19-38,112,53409188,0,33,4,48,44,19,38,2016-03-18
Ultra Lotto 6/58,29-08-33-46-35-21,113,55709300,0,29,8,33,46,35,21,2016-03-20
Ultra Lotto 6/58,47-25-20-44-06-55,114,58719148,0,47,25,20,44,6,55,2016-01-04
Ultra Lotto 6/58,36-39-33-01-11-50,115,60885856,0,36,39,33,1,11,50,2016-03-04
Ultra Lotto 6/58,40-41-01-25-28-44,116,63714204,0,40,41,1,25,28,44,2016-08-04
Ultra Lotto 6/58,53-48-44-04-46-11,117,65823720,0,53,48,44,4,46,11,2016-10-04
Ultra Lotto 6/58,07-53-13-50-22-01,118,68529988,0,7,53,13,50,22,1,2016-04-15
Ultra Lotto 6/58,34-19-33-39-06-49,119,71285768,0,34,19,33,39,6,49,2016-04-17
Ultra Lotto 6/58,02-51-40-33-20-13,120,74383672,0,2,51,40,33,20,13,2016-04-22
Ultra Lotto 6/58,36-35-51-38-46-30,121,77209604,0,36,35,51,38,46,30,2016-04-24
Ultra Lotto 6/58,35-56-30-46-57-08,122,80234380,0,35,56,30,46,57,8,2016-04-29
Ultra Lotto 6/58,27-41-15-52-39-04,123,83250596,0,27,41,15,52,39,4,2016-01-05
Ultra Lotto 6/58,38-23-55-17-51-08,124,86865264,0,38,23,55,17,51,8,2016-06-05
Ultra Lotto 6/58,49-52-22-01-46-41,125,89902124,0,49,52,22,1,46,41,2016-08-05
Ultra Lotto 6/58,08-12-09-50-13-46,126,93706916,0,8,12,9,50,13,46,2016-05-13
Ultra Lotto 6/58,41-21-13-52-36-06,127,97025016,0,41,21,13,52,36,6,2016-05-15
Ultra Lotto 6/58,05-42-34-49-33-52,128,101301028,0,5,42,34,49,33,52,2016-05-20
Ultra Lotto 6/58,31-40-42-51-06-18,129,104963184,0,31,40,42,51,6,18,2016-05-22
Ultra Lotto 6/58,11-50-56-53-12-09,130,109460484,0,11,50,56,53,12,9,2016-05-27
Ultra Lotto 6/58,06-44-36-54-32-29,131,113172840,0,6,44,36,54,32,29,2016-05-29
Ultra Lotto 6/58,13-02-25-06-03-49,132,117896552,0,13,2,25,6,3,49,2016-03-06
Ultra Lotto 6/58,22-05-07-25-53-32,133,121868792,0,22,5,7,25,53,32,2016-05-06
Ultra Lotto 6/58,39-19-54-06-22-12,134,126590668,0,39,19,54,6,22,12,2016-10-06
Ultra Lotto 6/58,50-03-49-13-58-34,135,130544376,0,50,3,49,13,58,34,2016-12-06
Ultra Lotto 6/58,16-58-33-35-02-50,136,135285580,0,16,58,33,35,2,50,2016-06-17
Ultra Lotto 6/58,45-46-07-03-49-58,137,139216872,0,45,46,7,3,49,58,2016-06-19
Ultra Lotto 6/58,51-49-25-40-31-45,138,143947844,0,51,49,25,40,31,45,2016-06-24
Ultra Lotto 6/58,11-53-02-29-01-09,139,148235564,0,11,53,2,29,1,9,2016-06-26
Ultra Lotto 6/58,36-47-04-03-20-28,140,153031572,0,36,47,4,3,20,28,2016-01-07
Ultra Lotto 6/58,54-23-32-04-14-38,141,157515824,0,54,23,32,4,14,38,2016-03-07
Ultra Lotto 6/58,11-27-51-02-16-41,142,162847140,0,11,27,51,2,16,41,2016-08-07
Ultra Lotto 6/58,44-39-43-10-07-23,143,167511164,0,44,39,43,10,7,23,2016-10-07
Ultra Lotto 6/58,06-21-57-31-53-02,144,173368172,0,6,21,57,31,53,2,2016-07-15
Ultra Lotto 6/58,39-05-11-26-16-28,145,178240316,0,39,5,11,26,16,28,2016-07-17
Ultra Lotto 6/58,09-47-04-20-52-05,146,184031148,0,9,47,4,20,52,5,2016-07-22
Ultra Lotto 6/58,10-30-22-34-50-28,147,188714904,0,10,30,22,34,50,28,2016-07-24
Ultra Lotto 6/58,20-55-14-22-18-30,148,194605848,1,20,55,14,22,18,30,2016-07-29
Ultra Lotto 6/58,21-27-55-47-46-19,149,50000000,0,21,27,55,47,46,19,2016-07-31
Ultra Lotto 6/58,02-09-06-30-52-08,150,50000000,0,2,9,6,30,52,8,2016-05-08
Ultra Lotto 6/58,55-36-33-30-53-32,151,50000000,0,55,36,33,30,53,32,2016-07-08
Ultra Lotto 6/58,50-19-25-15-51-14,152,50000000,0,50,19,25,15,51,14,2016-12-08
Ultra Lotto 6/58,05-54-48-17-01-39,153,50000000,0,5,54,48,17,1,39,2016-08-14
Ultra Lotto 6/58,07-38-40-31-53-30,154,50000000,0,7,38,40,31,53,30,2016-08-19
Ultra Lotto 6/58,24-10-42-30-25-13,155,50000000,0,24,10,42,30,25,13,2016-08-21
Ultra Lotto 6/58,38-37-57-22-30-53,156,50000000,0,38,37,57,22,30,53,2016-08-26
Ultra Lotto 6/58,20-12-02-03-15-22,157,50000000,1,20,12,2,3,15,22,2016-08-28
Ultra Lotto 6/58,48-34-36-16-27-35,158,50000000,0,48,34,36,16,27,35,2016-02-09
Ultra Lotto 6/58,13-47-26-28-01-48,159,50000000,0,13,47,26,28,1,48,2016-04-09
Ultra Lotto 6/58,29-27-34-47-04-12,160,50000000,0,29,27,34,47,4,12,2016-09-09
Ultra Lotto 6/58,11-15-20-08-49-37,161,50000000,0,11,15,20,8,49,37,2016-11-09
Ultra Lotto 6/58,23-41-13-46-43-58,162,50000000,0,23,41,13,46,43,58,2016-09-16
Ultra Lotto 6/58,13-51-12-02-06-36,163,50000000,0,13,51,12,2,6,36,2016-09-18
Ultra Lotto 6/58,32-56-27-57-15-09,164,50000000,0,32,56,27,57,15,9,2016-09-23
Ultra Lotto 6/58,56-50-52-14-21-25,165,50000000,0,56,50,52,14,21,25,2016-09-25
Ultra Lotto 6/58,51-49-47-25-39-05,166,50000000,0,51,49,47,25,39,5,2016-09-30
Ultra Lotto 6/58,29-01-44-38-28-32,167,50000000,0,29,1,44,38,28,32,2016-02-10
Ultra Lotto 6/58,56-45-33-54-52-18,168,50000000,0,56,45,33,54,52,18,2016-07-10
Ultra Lotto 6/58,37-16-13-44-54-25,169,50000000,0,37,16,13,44,54,25,2016-09-10
Ultra Lotto 6/58,49-31-25-52-53-33,170,50000000,0,49,31,25,52,53,33,2016-10-14
Ultra Lotto 6/58,04-03-35-56-39-05,171,50000000,0,4,3,35,56,39,5,2016-10-16
Ultra Lotto 6/58,51-46-43-47-12-32,172,50000000,0,51,46,43,47,12,32,2016-10-21
Ultra Lotto 6/58,26-44-04-57-21-54,173,50000000,0,26,44,4,57,21,54,2016-10-23
Ultra Lotto 6/58,46-32-02-57-15-03,174,50000000,0,46,32,2,57,15,3,2016-10-28
Ultra Lotto 6/58,01-34-41-02-10-21,175,50000000,0,1,34,41,2,10,21,2016-10-30
Ultra Lotto 6/58,58-06-25-47-38-41,176,50585288,0,58,6,25,47,38,41,2016-04-11
Ultra Lotto 6/58,54-48-58-42-21-15,177,53142076,0,54,48,58,42,21,15,2016-06-11
Ultra Lotto 6/58,08-51-07-32-37-17,178,56277080,0,8,51,7,32,37,17,2016-11-11
Ultra Lotto 6/58,15-02-31-58-56-22,179,59160064,0,15,2,31,58,56,22,2016-11-13
Ultra Lotto 6/58,43-42-29-10-41-04,180,62442460,0,43,42,29,10,41,4,2016-11-18
Ultra Lotto 6/58,58-53-26-42-54-28,181,65464104,0,58,53,26,42,54,28,2016-11-20
Ultra Lotto 6/58,46-32-10-56-27-48,182,68605832,0,46,32,10,56,27,48,2016-11-25
Ultra Lotto 6/58,04-31-13-36-24-53,183,71690560,0,4,31,13,36,24,53,2016-11-27
Ultra Lotto 6/58,17-40-58-27-47-05,184,75242616,0,17,40,58,27,47,5,2016-02-12
Ultra Lotto 6/58,30-02-17-42-01-03,185,78599956,0,30,2,17,42,1,3,2016-04-12
Ultra Lotto 6/58,55-23-29-22-53-41,186,82286924,0,55,23,29,22,53,41,2016-09-12
Ultra Lotto 6/58,44-33-05-52-50-58,187,85663640,0,44,33,5,52,50,58,2016-11-12
Ultra Lotto 6/58,19-34-58-28-08-36,188,89365904,0,19,34,58,28,8,36,2016-12-16
Ultra Lotto 6/58,08-56-07-43-13-17,189,92744368,0,8,56,7,43,13,17,2016-12-18
Ultra Lotto 6/58,40-14-34-45-20-36,190,97297272,0,40,14,34,45,20,36,2016-12-23
Ultra Lotto 6/58,38-58-23-42-34-08,191,102271052,0,38,58,23,42,34,8,2016-12-30
Ultra Lotto 6/58,21-17-54-47-08-02,192,107512772,0,21,17,54,47,8,2,2017-06-01
Ultra Lotto 6/58,40-50-46-44-08-12,193,112024060,0,40,50,46,44,8,12,2017-08-01
Ultra Lotto 6/58,45-19-06-07-08-22,194,117257944,0,45,19,6,7,8,22,2017-01-13
Ultra Lotto 6/58,22-52-43-54-04-18,195,121745164,0,22,52,43,54,4,18,2017-01-15
Ultra Lotto 6/58,40-43-39-21-52-46,196,127031376,0,40,43,39,21,52,46,2017-01-20
Ultra Lotto 6/58,39-09-30-20-34-01,197,131647064,0,39,9,30,20,34,1,2017-01-22
Ultra Lotto 6/58,05-41-53-12-16-46,198,136957364,0,5,41,53,12,16,46,2017-01-27
Ultra Lotto 6/58,23-47-34-14-52-57,199,141918708,0,23,47,34,14,52,57,2017-01-29
Ultra Lotto 6/58,17-30-06-13-43-31,200,147394816,0,17,30,6,13,43,31,2017-03-02
Ultra Lotto 6/58,47-06-36-48-10-25,201,152661032,0,47,6,36,48,10,25,2017-05-02
Ultra Lotto 6/58,12-05-01-18-22-35,202,158496424,0,12,5,1,18,22,35,2017-10-02
Ultra Lotto 6/58,32-47-18-26-57-58,203,163993180,0,32,47,18,26,57,58,2017-12-02
Ultra Lotto 6/58,03-34-06-13-07-19,204,166168836,0,3,34,6,13,7,19,2017-02-14
Ultra Lotto 6/58,41-44-08-26-15-01,205,171602000,0,41,44,8,26,15,1,2017-02-17
Ultra Lotto 6/58,09-03-40-53-27-20,206,177204800,0,9,3,40,53,27,20,2017-02-19
Ultra Lotto 6/58,35-48-29-56-17-33,207,180476548,0,35,48,29,56,17,33,2017-02-21
Ultra Lotto 6/58,49-22-39-42-25-47,208,186053028,0,49,22,39,42,25,47,2017-02-24
Ultra Lotto 6/58,11-34-46-02-27-45,209,191732988,0,11,34,46,2,27,45,2017-02-26
Ultra Lotto 6/58,11-26-20-19-56-31,210,195942668,0,11,26,20,19,56,31,2017-02-28
Ultra Lotto 6/58,17-36-44-32-19-33,211,202094084,0,17,36,44,32,19,33,2017-03-03
Ultra Lotto 6/58,21-34-58-14-57-09,212,208548316,0,21,34,58,14,57,9,2017-05-03
Ultra Lotto 6/58,28-10-50-38-36-24,213,213785808,0,28,10,50,38,36,24,2017-07-03
Ultra Lotto 6/58,34-27-02-17-15-38,214,222461092,0,34,27,2,17,15,38,2017-03-10
Ultra Lotto 6/58,16-02-10-09-54-35,215,229801040,0,16,2,10,9,54,35,2017-03-12
Ultra Lotto 6/58,06-07-19-16-36-04,216,236039676,0,6,7,19,16,36,4,2017-03-14
Ultra Lotto 6/58,19-24-58-15-09-14,217,245373452,0,19,24,58,15,9,14,2017-03-17
Ultra Lotto 6/58,51-48-04-39-09-19,218,253374080,0,51,48,4,39,9,19,2017-03-19
Ultra Lotto 6/58,24-53-10-38-04-49,219,260552992,0,24,53,10,38,4,49,2017-03-21
Ultra Lotto 6/58,30-18-43-37-09-39,220,269964732,0,30,18,43,37,9,39,2017-03-24
Ultra Lotto 6/58,39-17-44-01-12-13,221,278292336,0,39,17,44,1,12,13,2017-03-26
Ultra Lotto 6/58,10-21-23-06-27-09,222,286007372,3,10,21,23,6,27,9,2017-03-28
Ultra Lotto 6/58,01-03-43-16-08-24,223,50000000,0,1,3,43,16,8,24,2017-03-31
Ultra Lotto 6/58,22-48-57-12-33-43,224,50000000,0,22,48,57,12,33,43,2017-04-02
Ultra Lotto 6/58,23-21-30-26-44-34,225,50000000,0,23,21,30,26,44,34,2017-04-04
Ultra Lotto 6/58,36-49-58-46-03-02,226,50000000,0,36,49,58,46,3,2,2017-04-07
Ultra Lotto 6/58,57-24-45-50-25-40,227,50000000,0,57,24,45,50,25,40,2017-04-09
Ultra Lotto 6/58,51-13-06-25-15-58,228,50000000,0,51,13,6,25,15,58,2017-04-11
Ultra Lotto 6/58,03-06-24-15-18-38,229,50000000,0,3,6,24,15,18,38,2017-04-18
Ultra Lotto 6/58,24-23-34-02-29-32,230,50000000,0,24,23,34,2,29,32,2017-04-21
Ultra Lotto 6/58,47-09-06-48-56-17,231,50000000,0,47,9,6,48,56,17,2017-04-23
Ultra Lotto 6/58,03-27-23-29-47-57,232,50000000,0,3,27,23,29,47,57,2017-04-25
Ultra Lotto 6/58,14-44-46-56-31-16,233,50000000,0,14,44,46,56,31,16,2017-04-28
Ultra Lotto 6/58,33-38-29-57-31-53,234,50000000,0,33,38,29,57,31,53,2017-04-30
Ultra Lotto 6/58,22-34-25-23-18-33,235,50000000,0,22,34,25,23,18,33,2017-05-02
Ultra Lotto 6/58,26-33-58-56-39-37,236,50000000,0,26,33,58,56,39,37,2017-05-05
Ultra Lotto 6/58,31-52-44-57-21-45,237,50000000,0,31,52,44,57,21,45,2017-05-07
Ultra Lotto 6/58,18-15-58-30-07-05,238,50000000,0,18,15,58,30,7,5,2017-05-09
Ultra Lotto 6/58,02-16-11-49-18-03,239,50000000,0,2,16,11,49,18,3,2017-05-12
Ultra Lotto 6/58,56-13-58-17-20-08,240,50000000,0,56,13,58,17,20,8,2017-05-14
Ultra Lotto 6/58,08-26-48-41-47-39,241,51329860,0,8,26,48,41,47,39,2017-05-16
Ultra Lotto 6/58,30-11-50-54-28-15,242,54323568,0,30,11,50,54,28,15,2017-05-19
Ultra Lotto 6/58,05-08-45-09-46-36,243,57381244,0,5,8,45,9,46,36,2017-05-21
Ultra Lotto 6/58,22-33-21-57-14-41,244,59789192,0,22,33,21,57,14,41,2017-05-23
Ultra Lotto 6/58,58-47-43-22-44-12,245,62694664,0,58,47,43,22,44,12,2017-05-26
Ultra Lotto 6/58,36-17-39-35-40-11,246,65813936,0,36,17,39,35,40,11,2017-05-28
Ultra Lotto 6/58,03-21-54-15-20-12,247,68118984,0,3,21,54,15,20,12,2017-05-30
Ultra Lotto 6/58,47-32-53-02-45-11,248,71188576,0,47,32,53,2,45,11,2017-06-02
Ultra Lotto 6/58,47-09-06-48-56-17,249,50000000,0,47,9,6,48,56,17,2017-04-23
Ultra Lotto 6/58,03-27-23-29-47-57,250,50000000,0,3,27,23,29,47,57,2017-04-25
Ultra Lotto 6/58,14-44-46-56-31-16,251,50000000,0,14,44,46,56,31,16,2017-04-28
Ultra Lotto 6/58,33-38-29-57-31-53,252,50000000,0,33,38,29,57,31,53,2017-04-30
Ultra Lotto 6/58,22-34-25-23-18-33,253,50000000,0,22,34,25,23,18,33,2017-05-02
Ultra Lotto 6/58,26-33-58-56-39-37,254,50000000,0,26,33,58,56,39,37,2017-05-05
Ultra Lotto 6/58,31-52-44-57-21-45,255,50000000,0,31,52,44,57,21,45,2017-05-07
Ultra Lotto 6/58,18-15-58-30-07-05,256,50000000,0,18,15,58,30,7,5,2017-05-09
Ultra Lotto 6/58,02-16-11-49-18-03,257,50000000,0,2,16,11,49,18,3,2017-05-12
Ultra Lotto 6/58,56-13-58-17-20-08,258,50000000,0,56,13,58,17,20,8,2017-05-14
Ultra Lotto 6/58,08-26-48-41-47-39,259,51329860,0,8,26,48,41,47,39,2017-05-16
Ultra Lotto 6/58,30-11-50-54-28-15,260,54323568,0,30,11,50,54,28,15,2017-05-19
Ultra Lotto 6/58,05-08-45-09-46-36,261,57381244,0,5,8,45,9,46,36,2017-05-21
Ultra Lotto 6/58,22-33-21-57-14-41,262,59789192,0,22,33,21,57,14,41,2017-05-23
Ultra Lotto 6/58,58-47-43-22-44-12,263,62694664,0,58,47,43,22,44,12,2017-05-26
Ultra Lotto 6/58,36-17-39-35-40-11,264,65813936,0,36,17,39,35,40,11,2017-05-28
Ultra Lotto 6/58,03-21-54-15-20-12,265,68118984,0,3,21,54,15,20,12,2017-05-30
